[ 2025-01-24 19:58:38,793 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-24 19:58:50,372 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-24 19:58:50,372 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-24 19:58:50,376 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-24 19:58:50,507 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-24 19:58:50,507 ] 18 root - INFO - Data ingestion succeeded
[ 2025-01-24 19:58:50,524 ] 21 root - INFO - Initiate Data validation
[ 2025-01-24 19:58:50,599 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-24 19:58:50,599 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-24 19:58:50,600 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-24 19:58:50,601 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-24 19:58:50,988 ] 24 root - INFO - Data Validation succeeded
