[ 2025-01-25 15:24:50,219 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-25 15:24:59,472 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-25 15:24:59,472 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-25 15:24:59,475 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-25 15:24:59,629 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-25 15:24:59,630 ] 20 root - INFO - Data ingestion succeeded
[ 2025-01-25 15:24:59,635 ] 23 root - INFO - Initiate Data validation
[ 2025-01-25 15:24:59,686 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-25 15:24:59,686 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-25 15:24:59,687 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-25 15:24:59,687 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-25 15:24:59,912 ] 26 root - INFO - Data Validation succeeded
[ 2025-01-25 15:24:59,912 ] 28 root - INFO - data transformation started
[ 2025-01-25 15:24:59,912 ] 42 root - INFO - Starting data transformation
