[ 2025-01-25 15:28:19,754 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-25 15:28:30,207 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-25 15:28:30,207 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-25 15:28:30,242 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-25 15:28:30,415 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-25 15:28:30,415 ] 20 root - INFO - Data ingestion succeeded
[ 2025-01-25 15:28:30,455 ] 23 root - INFO - Initiate Data validation
[ 2025-01-25 15:28:30,716 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-25 15:28:30,716 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-25 15:28:30,717 ] 34 root - INFO - Required number of columns: 2
[ 2025-01-25 15:28:30,717 ] 35 root - INFO - Data frame has columns: 31
[ 2025-01-25 15:28:31,274 ] 26 root - INFO - Data Validation succeeded
[ 2025-01-25 15:28:31,275 ] 28 root - INFO - data transformation started
[ 2025-01-25 15:28:31,275 ] 41 root - INFO - Starting data transformation
